Player,Rating,Chase W/L,Evade W/L,Chase Wins,Evade Wins,Chase Loss,Evade Loss,Chases
Sparsha Pun,990.1860,0.56,0.44,5,4,4,5,18
Micheal Franko,989.1378,0.00,0.00,0,0,0,1,1
Gabriel Catudal,988.7870,0.83,0.00,5,0,1,5,11
Yiqi LI,987.5560,0.57,0.00,4,0,3,4,11
Philip Doyle,986.6763,0.80,0.20,4,1,1,4,10
Antoine Crepin,986.5381,0.67,0.00,2,0,1,2,5
Filip Engelhart,986.5192,0.33,0.40,1,2,2,3,8
Charles Poujade,985.5952,0.75,0.20,6,2,2,8,18
Emile Gangnant,985.3333,0.57,0.20,4,1,3,4,12
Ben Spaloss,983.8486,0.40,0.50,2,2,3,2,9
Nicolas Egot,983.2568,0.50,0.00,1,0,1,1,3
Romain Lenoble,982.6128,0.50,0.00,1,0,1,1,3
Emic Kitsen,982.5128,0.64,0.22,7,2,4,7,20
Carson Palmer,982.1513,0.45,0.38,5,3,6,5,19
Štěpán Goj,982.1413,0.83,0.17,5,1,1,5,12
Dan Calvert,982.1362,0.50,0.00,1,0,1,1,3
Ben Ortega,982.0576,0.75,0.00,3,0,1,3,7
Sofian Soujae,981.3921,0.63,0.00,5,0,3,5,13
Clément Dumais,981.1557,0.70,0.00,7,0,3,8,18
Fernando Arce,980.9321,0.80,0.00,12,0,3,11,26
Valentin Dubois,980.0887,0.77,0.15,10,2,3,11,26
Tim Champion,979.6559,0.67,0.00,2,0,1,2,5
Max Barker,979.4413,0.50,0.00,1,0,1,1,3
Jesse Deliberti,979.3659,0.67,0.33,4,2,2,4,12
Luciano Acuña Jr.,978.8130,0.73,0.25,8,2,3,6,19
Elioenai Faustino,978.7063,0.80,0.00,4,0,1,4,9
Kaden Lebsack,978.6176,0.50,0.00,1,0,1,1,3
Tony Roth,978.5783,0.59,0.00,10,0,7,10,27
Sean Trabold,978.3997,0.60,0.25,3,1,2,3,9
Harvey Charlton,978.3495,0.50,0.00,1,0,1,1,3
Florian Maeder,976.8885,0.55,0.17,6,1,5,5,17
Evan Beyer,976.8252,0.50,0.25,3,1,3,3,10
Hunter Gowin,976.7106,0.50,0.00,1,0,1,1,3
Nabil Hadji,975.9990,0.71,0.00,5,0,2,4,11
Callum Tinsdale,975.9233,0.50,0.00,1,0,1,1,3
Kieran Hawkins,975.8895,0.78,0.22,7,2,2,7,18
Jason Budd,975.8675,0.50,0.00,1,0,1,1,3
Brandon Sandén,975.6966,0.60,0.00,3,0,2,3,8
Jesus Ocana,975.6791,0.50,0.00,1,0,1,1,3
Toby Segar,975.3072,0.67,0.00,2,0,1,2,5
Abdullah West,975.2982,0.73,0.18,11,2,4,9,26
Frazer Meek,974.8399,0.00,0.00,0,0,1,0,1
Jaydn Clark,974.5781,0.50,0.00,1,0,1,1,3
Cole Quigley,974.5314,0.00,0.00,0,0,1,0,1
Hiroto Kawabata,974.2462,0.00,0.00,0,0,1,0,1
Kareem Small,974.0364,0.79,0.00,11,0,3,10,24
Joel Carlyon,973.4579,0.00,0.00,0,0,1,0,1
Endijs Miscenko,973.3073,0.50,0.00,1,0,1,1,3
Klaus Guip,973.1790,0.00,0.00,0,0,1,0,1
Bart van der Linden,973.1732,0.50,0.00,1,0,1,2,4
Enis Maslic,972.7759,0.50,0.00,1,0,1,1,3
Tabito,972.6959,0.67,0.00,2,0,1,2,5
Anthony Carlton,972.3573,0.50,0.00,1,0,1,2,4
Wěi Yu,972.1077,0.40,0.33,2,1,3,2,8
Jack Dodds,971.7993,0.00,0.00,0,0,1,0,1
Dayne Nembhard,971.6022,0.65,0.24,13,5,7,16,41
Rimvydas Bruzas,971.5677,0.50,0.00,1,0,1,1,3
